[] Kind: captions
[] Language: pt
[00:00:00,080] Fala<00:00:00.359><c> galera</c><00:00:00.799><c> eu</c><00:00:01.000><c> tô</c><00:00:01.199><c> aqui</c><00:00:01.319><c> na</c><00:00:01.640><c> Embraer</c><00:00:02.480><c> no</c>
[00:00:33,000] reposicionamento<00:00:33.719><c> da</c><00:00:33.920><c> aeronave</c><00:00:34.680><c> tirando</c><00:00:35.079><c> ela</c>
[00:00:35,270] reposicionamento da aeronave tirando ela
[00:00:35,280] reposicionamento da aeronave tirando ela
[00:00:35,280] de<00:00:35.480><c> Sorocaba</c><00:00:36.079><c> aqui</c><00:00:36.160><c> da</c><00:00:36.520><c> Embraer</c><00:00:37.280><c> e</c><00:00:37.440><c> levando</c>
[00:00:38,069] de Sorocaba aqui da Embraer e levando
[00:00:38,079] de Sorocaba aqui da Embraer e levando
[00:00:38,079] para<00:00:38.200><c> o</c><00:00:38.320><c> aeroporto</c><00:00:38.800><c> internacional</c><00:00:39.520><c> de</c>
[00:00:39,709] para o aeroporto internacional de
[00:00:39,719] para o aeroporto internacional de
[00:00:39,719] Guarulhos<00:00:40.320><c> então</c><00:00:40.520><c> sejam</c><00:00:40.879><c> bem-vindos</c><00:00:41.320><c> a</c><00:00:41.520><c> bordo</c>
[00:00:41,830] Guarulhos então sejam bem-vindos a bordo
[00:00:41,840] Guarulhos então sejam bem-vindos a bordo
[00:00:41,840] do<00:00:41.960><c> canal</c><00:00:42.320><c> Marcelo</c><00:00:42.800><c> Trentini</c><00:00:43.480><c> e</c><00:00:43.600><c> acompanhe</c>
[00:00:44,110] do canal Marcelo Trentini e acompanhe
[00:00:44,120] do canal Marcelo Trentini e acompanhe
[00:00:44,120] mais<00:00:44.239><c> este</c><00:00:44.480><c> voo</c><00:00:44.760><c> conosco</c>
[00:00:46,110] mais este voo conosco
[00:00:46,120] mais este voo conosco
[00:00:46,120] [Música]
[00:01:00,120] k
[00:01:03,290] [Música]
[00:01:15,050] [Música]
[00:01:34,410] [Música]
[00:01:37,920] k
[00:01:42,320] [Música]
[00:02:00,000] k
[00:02:01,650] k
[00:02:01,660] k
[00:02:01,660] [Música]
[00:02:13,660] [Música]
[00:02:30,480] então<00:02:30.840><c> estamos</c><00:02:31.080><c> aqui</c><00:02:31.280><c> no</c><00:02:31.480><c> aeroporto</c><00:02:31.920><c> de</c>
[00:02:32,070] então estamos aqui no aeroporto de
[00:02:32,080] então estamos aqui no aeroporto de
[00:02:32,080] Sorocaba<00:02:32.560><c> a</c><00:02:32.920><c> emb</c><00:02:33.519><c> tem</c><00:02:33.760><c> uma</c><00:02:33.959><c> estrutura</c><00:02:34.760><c> muito</c>
[00:02:35,030] Sorocaba a emb tem uma estrutura muito
[00:02:35,040] Sorocaba a emb tem uma estrutura muito
[00:02:35,040] grande
[00:02:36,990] grande
[00:02:37,000] grande
[00:02:37,000] aqui<00:02:38.000><c> hangares</c><00:02:39.200><c> enormes</c><00:02:40.200><c> tem</c><00:02:40.319><c> aqui</c><00:02:40.440><c> em</c>
[00:02:41,190] aqui hangares enormes tem aqui em
[00:02:41,200] aqui hangares enormes tem aqui em
[00:02:41,200] Sorocaba<00:02:42.200><c> Aqui</c><00:02:42.599><c> nós</c>
[00:02:44,229] Sorocaba Aqui nós
[00:02:44,239] Sorocaba Aqui nós
[00:02:44,239] temos<00:02:45.239><c> um</c>
[00:02:48,159] Legacy<00:02:49.159><c> e</c><00:02:49.440><c> aqui</c><00:02:49.640><c> o</c><00:02:49.800><c> nosso</c><00:02:50.080><c> phon</c>
[00:02:51,589] Legacy e aqui o nosso phon
[00:02:51,599] Legacy e aqui o nosso phon
[00:02:51,599] 300<00:02:52.599><c> agora</c><00:02:52.800><c> a</c><00:02:52.879><c> gente</c><00:02:53.040><c> vai</c><00:02:53.200><c> preparar</c><00:02:53.879><c> o</c>
[00:02:54,030] 300 agora a gente vai preparar o
[00:02:54,040] 300 agora a gente vai preparar o
[00:02:54,040] interior<00:02:54.319><c> da</c><00:02:54.480><c> aeronave</c><00:02:55.480><c> para</c><00:02:55.879><c> esse</c><00:02:56.239><c> voo</c><00:02:56.760><c> de</c>
[00:02:57,229] interior da aeronave para esse voo de
[00:02:57,239] interior da aeronave para esse voo de
[00:02:57,239] Sorocaba<00:02:57.840><c> para</c><00:02:58.000><c> Guarulhos</c>
[00:03:02,280] [Música]
[00:03:09,760] aqui<00:03:10.239><c> temos</c><00:03:10.599><c> Gustavo</c><00:03:11.000><c> Carleto</c><00:03:11.799><c> Opa</c><00:03:12.200><c> bom</c><00:03:12.400><c> dia</c>
[00:03:13,390] aqui temos Gustavo Carleto Opa bom dia
[00:03:13,400] aqui temos Gustavo Carleto Opa bom dia
[00:03:13,400] tud<00:03:13.599><c> bem</c><00:03:13.720><c> pessoal</c><00:03:14.040><c> gí</c><00:03:15.040><c> fazendo</c><00:03:15.440><c> Safety</c>
[00:03:15,789] tud bem pessoal gí fazendo Safety
[00:03:15,799] tud bem pessoal gí fazendo Safety
[00:03:15,799] inspection<00:03:16.159><c> Gustavo</c><00:03:16.720><c> isso</c><00:03:16.920><c> aí</c><00:03:17.080><c> a</c><00:03:17.319><c> gente</c>
[00:03:18,229] inspection Gustavo isso aí a gente
[00:03:18,239] inspection Gustavo isso aí a gente
[00:03:18,239] realiza<00:03:18.720><c> esse</c><00:03:18.920><c> check</c><00:03:19.400><c> aqui</c><00:03:19.519><c> o</c><00:03:19.640><c> cockpit</c><00:03:20.159><c> Safety</c>
[00:03:20,789] realiza esse check aqui o cockpit Safety
[00:03:20,799] realiza esse check aqui o cockpit Safety
[00:03:20,799] inspection<00:03:21.799><c> antes</c><00:03:22.120><c> do</c><00:03:22.440><c> do</c><00:03:22.640><c> da</c><00:03:22.920><c> gente</c><00:03:23.319><c> ligar</c><00:03:23.640><c> o</c>
[00:03:23,830] inspection antes do do da gente ligar o
[00:03:23,840] inspection antes do do da gente ligar o
[00:03:23,840] avião<00:03:24.080><c> né</c><00:03:24.239><c> pra</c><00:03:24.480><c> gente</c><00:03:24.640><c> conferir</c><00:03:24.920><c> que</c><00:03:25.000><c> todos</c><00:03:25.239><c> os</c>
[00:03:25,350] avião né pra gente conferir que todos os
[00:03:25,360] avião né pra gente conferir que todos os
[00:03:25,360] switchs<00:03:25.760><c> estão</c><00:03:25.959><c> nas</c><00:03:26.120><c> devidas</c><00:03:26.519><c> posições</c><00:03:27.480><c> isso</c>
[00:03:27,750] switchs estão nas devidas posições isso
[00:03:27,760] switchs estão nas devidas posições isso
[00:03:27,760] aí<00:03:27.959><c> exatamente</c><00:03:28.519><c> a</c><00:03:28.640><c> aeronave</c><00:03:29.120><c> passou</c><00:03:29.360><c> por</c>
[00:03:30,149] aí exatamente a aeronave passou por
[00:03:30,159] aí exatamente a aeronave passou por
[00:03:30,159] alguns<00:03:30.560><c> serviços</c><00:03:31.159><c> aqui</c><00:03:31.560><c> a</c><00:03:31.799><c> gente</c><00:03:32.360><c> fez</c><00:03:32.599><c> um</c>
[00:03:32,789] alguns serviços aqui a gente fez um
[00:03:32,799] alguns serviços aqui a gente fez um
[00:03:32,799] serviço<00:03:33.080><c> no</c><00:03:33.360><c> sistema</c><00:03:33.680><c> de</c><00:03:33.799><c> ar</c><00:03:34.000><c> condicionado</c><00:03:34.439><c> eh</c>
[00:03:35,429] serviço no sistema de ar condicionado eh
[00:03:35,439] serviço no sistema de ar condicionado eh
[00:03:35,439] e<00:03:35.799><c> outros</c><00:03:36.400><c> serviços</c><00:03:36.879><c> também</c><00:03:37.760><c> então</c><00:03:38.040><c> é</c><00:03:38.120><c> muito</c>
[00:03:38,309] e outros serviços também então é muito
[00:03:38,319] e outros serviços também então é muito
[00:03:38,319] importante<00:03:39.280><c> saindo</c><00:03:39.680><c> principalmente</c><00:03:40.319><c> da</c><00:03:40.480><c> da</c>
[00:03:40,589] importante saindo principalmente da da
[00:03:40,599] importante saindo principalmente da da
[00:03:40,599] oficina<00:03:40.959><c> que</c><00:03:41.040><c> seja</c><00:03:41.280><c> feito</c><00:03:41.519><c> com</c><00:03:41.799><c> muito</c>
[00:03:42,110] oficina que seja feito com muito
[00:03:42,120] oficina que seja feito com muito
[00:03:42,120] critério<00:03:42.720><c> esse</c><00:03:43.120><c> cockpit</c><00:03:43.640><c> Safety</c><00:03:44.080><c> inspection</c>
[00:03:44,869] critério esse cockpit Safety inspection
[00:03:44,879] critério esse cockpit Safety inspection
[00:03:44,879] pra<00:03:45.480><c> gente</c><00:03:45.599><c> verificar</c><00:03:46.159><c> se</c><00:03:46.319><c> realmente</c><00:03:47.000><c> tudo</c>
[00:03:47,309] pra gente verificar se realmente tudo
[00:03:47,319] pra gente verificar se realmente tudo
[00:03:47,319] está<00:03:47.879><c> em</c><00:03:48.280><c> conformidade</c><00:03:48.799><c> os</c><00:03:49.360><c> switchs</c><00:03:49.840><c> todos</c><00:03:50.120><c> na</c>
[00:03:50,350] está em conformidade os switchs todos na
[00:03:50,360] está em conformidade os switchs todos na
[00:03:50,360] posição<00:03:50.680><c> que</c><00:03:50.799><c> eles</c><00:03:51.000><c> devem</c><00:03:51.319><c> estar</c><00:03:51.879><c> a</c><00:03:52.040><c> gente</c>
[00:03:52,509] posição que eles devem estar a gente
[00:03:52,519] posição que eles devem estar a gente
[00:03:52,519] segue<00:03:52.840><c> esse</c><00:03:53.360><c> checklist</c><00:03:54.360><c> chamado</c><00:03:54.760><c> cockpit</c>
[00:03:55,350] segue esse checklist chamado cockpit
[00:03:55,360] segue esse checklist chamado cockpit
[00:03:55,360] Safety<00:03:56.040><c> inspection</c><00:03:57.040><c> E</c><00:03:57.319><c> aí</c><00:03:57.640><c> sim</c><00:03:58.079><c> a</c><00:03:58.200><c> gente</c>
[00:03:58,429] Safety inspection E aí sim a gente
[00:03:58,439] Safety inspection E aí sim a gente
[00:03:58,439] prossegue<00:03:58.879><c> com</c><00:03:59.040><c> os</c><00:03:59.200><c> demais</c><00:04:00.000><c> cheques</c><00:04:00.400><c> também</c>
[00:04:00,550] prossegue com os demais cheques também
[00:04:00,560] prossegue com os demais cheques também
[00:04:00,560] pro<00:04:00.760><c> voo</c><00:04:01.519><c> prepara</c><00:04:02.439><c> o</c><00:04:02.760><c> interior</c><00:04:03.239><c> todo</c><00:04:03.439><c> da</c>
[00:04:03,869] pro voo prepara o interior todo da
[00:04:03,879] pro voo prepara o interior todo da
[00:04:03,879] aeronave<00:04:04.799><c> então</c><00:04:05.239><c> é</c><00:04:05.439><c> uma</c><00:04:05.560><c> Essa</c><00:04:06.280><c> é</c><00:04:06.360><c> a</c><00:04:06.439><c> sequência</c>
[00:04:06,910] aeronave então é uma Essa é a sequência
[00:04:06,920] aeronave então é uma Essa é a sequência
[00:04:06,920] hoje<00:04:07.319><c> não</c><00:04:07.439><c> vou</c><00:04:07.560><c> ficar</c><00:04:07.840><c> fazendo</c><00:04:08.120><c> muito</c><00:04:08.319><c> no</c>
[00:04:08,750] hoje não vou ficar fazendo muito no
[00:04:08,760] hoje não vou ficar fazendo muito no
[00:04:08,760] estilo<00:04:09.079><c> vlog</c><00:04:09.720><c> que</c><00:04:09.879><c> é</c><00:04:10.000><c> aquele</c><00:04:10.239><c> que</c><00:04:10.319><c> eu</c><00:04:10.400><c> sei</c><00:04:10.519><c> que</c>
[00:04:10,589] estilo vlog que é aquele que eu sei que
[00:04:10,599] estilo vlog que é aquele que eu sei que
[00:04:10,599] vocês<00:04:10.840><c> gostam</c><00:04:11.120><c> saindo</c><00:04:11.400><c> do</c><00:04:11.519><c> hotel</c><00:04:11.720><c> é</c><00:04:12.519><c> com</c><00:04:12.720><c> toda</c>
[00:04:12,949] vocês gostam saindo do hotel é com toda
[00:04:12,959] vocês gostam saindo do hotel é com toda
[00:04:12,959] a<00:04:13.079><c> preparação</c><00:04:13.439><c> do</c><00:04:13.640><c> voo</c><00:04:13.840><c> ão</c><00:04:14.599><c> um</c><00:04:14.680><c> voo</c><00:04:14.879><c> um</c>
[00:04:14,910] a preparação do voo ão um voo um
[00:04:14,920] a preparação do voo ão um voo um
[00:04:14,920] pouquinho<00:04:15.239><c> mais</c><00:04:15.480><c> corrido</c><00:04:16.000><c> aí</c><00:04:16.359><c> nosso</c><00:04:17.359><c> mas</c><00:04:17.560><c> eu</c>
[00:04:17,629] pouquinho mais corrido aí nosso mas eu
[00:04:17,639] pouquinho mais corrido aí nosso mas eu
[00:04:17,639] vou<00:04:17.840><c> mostrar</c><00:04:18.160><c> então</c><00:04:18.720><c> essa</c><00:04:19.199><c> preparação</c>
[00:04:19,749] vou mostrar então essa preparação
[00:04:19,759] vou mostrar então essa preparação
[00:04:19,759] rapidamente<00:04:20.759><c> e</c><00:04:21.000><c> depois</c><00:04:21.280><c> o</c><00:04:21.440><c> voo</c><00:04:21.759><c> inteiro</c>
[00:04:22,069] rapidamente e depois o voo inteiro
[00:04:22,079] rapidamente e depois o voo inteiro
[00:04:22,079] também<00:04:22.280><c> vou</c><00:04:22.759><c> tá</c><00:04:22.919><c> trazendo</c><00:04:23.360><c> as</c><00:04:23.520><c> imagens</c><00:04:23.919><c> para</c>
[00:04:24,030] também vou tá trazendo as imagens para
[00:04:24,040] também vou tá trazendo as imagens para
[00:04:24,040] vocês<00:04:25.040><c> aqui</c><00:04:25.320><c> desse</c><00:04:25.840><c> deslocamento</c><00:04:26.360><c> de</c>
[00:04:26,550] vocês aqui desse deslocamento de
[00:04:26,560] vocês aqui desse deslocamento de
[00:04:26,560] Sorocaba<00:04:27.040><c> para</c><00:04:27.199><c> Guarulhos</c><00:04:28.080><c> da</c><00:04:28.320><c> cabine</c><00:04:28.680><c> com</c><00:04:28.759><c> a</c>
[00:04:28,909] Sorocaba para Guarulhos da cabine com a
[00:04:28,919] Sorocaba para Guarulhos da cabine com a
[00:04:28,919] comunicação<00:04:29.320><c> aí</c><00:04:29.520><c> tamb</c><00:04:29.720><c> também</c><00:04:29.919><c> com</c><00:04:30.000><c> os</c><00:04:30.120><c> órgãos</c>
[00:04:30,550] comunicação aí tamb também com os órgãos
[00:04:30,560] comunicação aí tamb também com os órgãos
[00:04:30,560] de<00:04:30.680><c> controle</c><00:04:31.039><c> e</c><00:04:31.199><c> os</c><00:04:31.360><c> demais</c><00:04:31.600><c> procedimentos</c>
[00:04:32,110] de controle e os demais procedimentos
[00:04:32,120] de controle e os demais procedimentos
[00:04:32,120] que<00:04:32.199><c> a</c><00:04:32.240><c> gente</c><00:04:32.400><c> executa</c><00:04:32.759><c> a</c><00:04:32.880><c> Bordo</c><00:04:33.320><c> beleza</c><00:04:34.240><c> vamos</c>
[00:04:34,350] que a gente executa a Bordo beleza vamos
[00:04:34,360] que a gente executa a Bordo beleza vamos
[00:04:34,360] lá<00:04:34.479><c> então</c><00:04:34.680><c> Gustavo</c><00:04:35.560><c> seu</c><00:04:35.880><c> café</c><00:04:36.120><c> da</c><00:04:36.199><c> manhã</c><00:04:37.120><c> Muito</c>
[00:04:37,310] lá então Gustavo seu café da manhã Muito
[00:04:37,320] lá então Gustavo seu café da manhã Muito
[00:04:37,320] obrigado<00:04:38.759><c> comissaria</c>
[00:04:42,280] Cat<00:04:43.280><c> legal</c><00:04:43.560><c> essa</c><00:04:43.840><c> sala</c><00:04:44.120><c> aqui</c><00:04:44.280><c> de</c><00:04:45.039><c> de</c><00:04:45.240><c> descanso</c>
[00:04:45,830] Cat legal essa sala aqui de de descanso
[00:04:45,840] Cat legal essa sala aqui de de descanso
[00:04:45,840] aqui<00:04:45.960><c> de</c><00:04:46.120><c> tripulantes</c>
[00:04:47,270] aqui de tripulantes
[00:04:47,280] aqui de tripulantes
[00:04:47,280] ó<00:04:48.280><c> muito</c>
[00:04:49,470] ó muito
[00:04:49,480] ó muito
[00:04:49,480] [Música]
[00:04:53,029] [Música]
[00:04:53,039] [Música]
[00:04:53,039] legal<00:04:54.039><c> só</c><00:04:54.199><c> faltou</c><00:04:54.560><c> est</c><00:04:54.720><c> passando</c><00:04:55.160><c> canal</c>
[00:04:55,350] legal só faltou est passando canal
[00:04:55,360] legal só faltou est passando canal
[00:04:55,360] Marcelo<00:04:55.639><c> Trentini</c><00:04:56.120><c> aqui</c><00:04:56.280><c> né</c>
[00:04:59,160] Marcelo Trentini aqui né
[00:04:59,170] Marcelo Trentini aqui né
[00:04:59,170] [Música]
[00:05:14,520] bom<00:05:14.800><c> pessoal</c><00:05:15.039><c> a</c><00:05:15.120><c> gente</c><00:05:15.240><c> vai</c><00:05:15.600><c> continuar</c>
[00:05:15,830] bom pessoal a gente vai continuar
[00:05:15,840] bom pessoal a gente vai continuar
[00:05:15,840] preparando<00:05:16.240><c> aqui</c><00:05:16.680><c> a</c><00:05:17.039><c> aeronave</c><00:05:18.160><c> e</c><00:05:19.160><c> vou</c><00:05:19.400><c> vir</c><00:05:19.680><c> com</c>
[00:05:19,790] preparando aqui a aeronave e vou vir com
[00:05:19,800] preparando aqui a aeronave e vou vir com
[00:05:19,800] as<00:05:19.960><c> imagens</c><00:05:20.600><c> diretas</c><00:05:21.000><c> do</c><00:05:21.120><c> voo</c><00:05:21.440><c> para</c><00:05:21.560><c> vocês</c><00:05:21.840><c> que</c>
[00:05:21,990] as imagens diretas do voo para vocês que
[00:05:22,000] as imagens diretas do voo para vocês que
[00:05:22,000] agora<00:05:22.280><c> vou</c><00:05:22.440><c> fixar</c><00:05:22.919><c> a</c><00:05:23.160><c> câmera</c><00:05:23.520><c> aqui</c><00:05:23.759><c> na</c><00:05:23.880><c> cabeça</c>
[00:05:25,430] agora vou fixar a câmera aqui na cabeça
[00:05:25,440] agora vou fixar a câmera aqui na cabeça
[00:05:25,440] então<00:05:26.440><c> daqui</c><00:05:26.720><c> a</c><00:05:26.840><c> pouco</c><00:05:27.039><c> a</c><00:05:27.120><c> gente</c><00:05:27.240><c> volta</c><00:05:27.479><c> com</c><00:05:27.600><c> a</c>
[00:05:27,670] então daqui a pouco a gente volta com a
[00:05:27,680] então daqui a pouco a gente volta com a
[00:05:27,680] decolagem<00:05:28.080><c> aqui</c><00:05:28.240><c> de</c><00:05:28.319><c> Sorocaba</c><00:05:28.800><c> e</c><00:05:28.960><c> o</c><00:05:29.120><c> preg</c>
[00:05:31,390] decolagem aqui de Sorocaba e o preg
[00:05:31,400] decolagem aqui de Sorocaba e o preg
[00:05:31,400] para<00:05:31.880><c> assamento</c><00:05:32.720><c> aqui</c><00:05:33.720><c> portas</c>
[00:05:35,150] para assamento aqui portas
[00:05:35,160] para assamento aqui portas
[00:05:35,160] fechadas
[00:05:37,070] fechadas
[00:05:37,080] fechadas
[00:05:37,080] elétrico<00:05:38.080><c> no</c><00:05:38.639><c> 2</c>
[00:05:49,120] cronômetro<00:05:50.120><c> Pressure</c>
[00:06:07,400] partida<00:06:07.800><c> no</c><00:06:08.160><c> dois</c><00:06:08.440><c> com</c><00:06:08.840><c> sucesso</c><00:06:09.479><c> partida</c><00:06:09.960><c> no</c>
[00:06:18,240] um
[00:06:20,990] um
[00:06:21,000] um
[00:06:21,000] m2<00:06:22.080><c> Oil</c>
[00:06:23,870] m2 Oil
[00:06:23,880] m2 Oil
[00:06:23,880] Pressure<00:06:24.880><c> n</c>
[00:06:42,919] Ok
[00:06:45,469] Ok
[00:06:45,479] Ok
[00:06:45,479] ti<00:06:46.479><c> After</c>
[00:06:48,309] ti After
[00:06:48,319] ti After
[00:06:48,319] check<00:06:49.319><c> aguardando</c><00:06:49.759><c> a</c><00:06:49.880><c> desconexão</c>
[00:07:02,479] Ok
[00:07:07,919] desconectou
[00:07:09,670] desconectou
[00:07:09,680] desconectou
[00:07:09,680] barramentos<00:07:10.680><c> baterias</c>
[00:07:13,309] barramentos baterias
[00:07:13,319] barramentos baterias
[00:07:13,319] caindo<00:07:14.319><c> estabilizar</c><00:07:15.000><c> pelo</c><00:07:15.120><c> menos</c>
[00:07:17,029] caindo estabilizar pelo menos
[00:07:17,039] caindo estabilizar pelo menos
[00:07:17,039] 23.5<00:07:18.039><c> baterias</c><00:07:18.639><c> aeronave</c><00:07:19.039><c> estão</c>
[00:07:25,440] boas<00:07:26.440><c> Ok</c><00:07:26.879><c> estabilizou</c><00:07:27.440><c> em</c><00:07:27.599><c> 26</c>
[00:07:32,599] alto<00:07:33.599><c> vamos</c><00:07:33.879><c> lá</c><00:07:34.240><c> chegar</c><00:07:34.680><c> nosso</c><00:07:35.319><c> ST</c><00:07:35.720><c> War</c>
[00:07:36,110] alto vamos lá chegar nosso ST War
[00:07:36,120] alto vamos lá chegar nosso ST War
[00:07:36,120] protection
[00:07:37,469] protection
[00:07:37,479] protection
[00:07:37,479] System<00:07:38.479><c> Stall</c>
[00:07:41,520] Stall<00:07:42.520><c> Stall</c>
[00:07:45,520] Stall<00:07:46.520><c> ST</c>
[00:07:48,510] Stall ST
[00:07:48,520] Stall ST
[00:07:48,520] ST<00:07:49.520><c> ST</c>
[00:07:52,680] ST<00:07:53.680><c> também</c><00:07:54.000><c> checado</c><00:07:54.400><c> retornei</c><00:07:54.879><c> para</c><00:07:55.400><c> off</c><00:07:56.400><c> fcs</c>
[00:07:57,390] ST também checado retornei para off fcs
[00:07:57,400] ST também checado retornei para off fcs
[00:07:57,400] unit<00:07:58.199><c> V2</c>
[00:08:00,469] unit V2
[00:08:00,479] unit V2
[00:08:00,479] restrição<00:08:01.000><c> de</c><00:08:01.159><c> 4500</c><00:08:01.800><c> que</c><00:08:01.879><c> é</c>
[00:08:14,479] corredor
[00:08:17,639] manp<00:08:18.639><c> 3oc</c>
[00:08:31,319] subiu<00:08:31.800><c> aqui</c><00:08:32.240><c> do</c><00:08:32.519><c> lado</c>
[00:08:33,990] subiu aqui do lado
[00:08:34,000] subiu aqui do lado
[00:08:34,000] esquerdo<00:08:35.000><c> direita</c><00:08:35.959><c> confere</c><00:08:36.959><c> Liv</c><00:08:37.479><c> correspond</c>
[00:08:59,760] pronto<00:09:00.000><c> para</c><00:09:00.160><c> o</c>
[00:09:03,760] táxi<00:09:04.760><c> tax</c><00:09:05.399><c> P</c><00:09:05.640><c> tax</c><00:09:06.040><c> bravo</c>
[00:09:07,670] táxi tax P tax bravo
[00:09:07,680] táxi tax P tax bravo
[00:09:07,680] hotel<00:09:08.680><c> no</c><00:09:08.760><c> ponto</c><00:09:09.000><c> de</c><00:09:09.079><c> espera</c><00:09:09.320><c> da</c><00:09:09.480><c> Hotel</c><00:09:09.880><c> chame</c>
[00:09:10,190] hotel no ponto de espera da Hotel chame
[00:09:10,200] hotel no ponto de espera da Hotel chame
[00:09:10,200] no<00:09:10.279><c> ponto</c><00:09:10.480><c> de</c><00:09:10.560><c> espera</c><00:09:10.800><c> da</c><00:09:10.920><c> Hotel</c><00:09:11.200><c> pronto</c><00:09:11.440><c> para</c>
[00:09:11,829] no ponto de espera da Hotel pronto para
[00:09:11,839] no ponto de espera da Hotel pronto para
[00:09:11,839] decolagem<00:09:12.839><c> bravo</c><00:09:13.240><c> ponto</c><00:09:13.480><c> de</c><00:09:13.560><c> espera</c><00:09:13.760><c> da</c><00:09:13.839><c> Hotel</c>
[00:09:14,069] decolagem bravo ponto de espera da Hotel
[00:09:14,079] decolagem bravo ponto de espera da Hotel
